DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2019-07,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2019-08,1.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2019-09,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2019-10,1.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2019-11,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2019-12,1.8,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-01,2.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-02,2.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-03,1.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-04,1.5,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-05,0.6,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-06,1.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-07,1.8,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-08,1.4,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-09,1.2,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-10,1.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-11,1.1,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2020-12,1.0,
ESTAT:PRC_HICP_MANR(1.0),01/02/23 11:00:00,M,RCH_A,CP00,AT,2021-01,1.1,
